,Unnamed: 0,absolute_magnitude_h,is_sentry_object,meters_estimated_diameter,orbit_id,orbit_class_type,perihelion_distance,aphelion_distance,orbit_class_description,volume (m^3)
0,17254,0.6411251212415129,0,3.978074508570676e-23,3,1,0.2591508829430885,0.23355170469276665,3,6.295333443939021e-68
1,16569,0.5441319107662462,0,9.739288683960545e-20,2,0,0.8750594988864162,0.1104751547014622,1,9.238079871424981e-58
2,10589,0.481086323957323,0,1.5533973105554902e-17,10,0,0.712993038222477,0.1378102586134597,1,3.7484148284167617e-51
3,8198,0.26285160038797273,0,6.549449232814472e-10,26,1,0.18633688702396262,0.23307409749218083,3,2.8094049311372337e-28
4,14317,0.5441319107662462,0,9.739288683960545e-20,5,1,0.3647083983005407,0.15223895852924277,3,9.238079871424981e-58
5,10507,0.5004849660523761,0,3.2622082677511723e-18,35,1,0.43323538486804763,0.08210948055129945,3,3.471642936985807e-53
6,1500,0.31668283220174576,0,8.617685286673447e-12,68,1,0.5689303409177534,0.13383231206062887,3,6.399880867044509e-34
7,23471,0.45683802133850626,0,1.09268789073005e-16,17,1,0.6099060289006993,0.14727646555117657,3,1.3046330903493803e-48
8,12792,0.39864209505334613,0,1.1798009063205342e-14,5,0,0.7762408783476107,0.22378542893738407,1,1.642200490190894e-42
9,2,0.18331716779825402,0,3.9360927753861715e-07,180,0,0.6644315541898923,0.22618939531030485,1,6.098120181869324e-20
10,11361,0.4034917555771095,0,7.986674948925552e-15,15,1,0.34325881571322625,0.2527403804034648,3,5.094458498389835e-43
11,12312,0.6120271580989328,0,4.133607239634503e-22,9,1,0.6160993512977563,0.1461850584059229,3,7.062974337936746e-65
12,6377,0.4582929194956352,0,9.719934000183143e-17,17,1,0.47765144250726793,0.22702537610879714,3,9.183113375748841e-49
13,5555,0.5198836081474295,0,6.850792605246245e-19,13,1,0.5920712285882872,0.2736005345102433,3,3.2153071286225045e-55
14,22426,0.6556741028128031,0,1.2340841234109853e-23,2,1,0.5884853004719653,0.11897168098177217,3,1.879465231799877e-69
15,8197,0.4277400581959262,0,1.1354092490190396e-15,12,0,0.6518292963800858,0.14267729891929404,1,1.463717557566656e-45
16,7794,0.3743937924345295,0,8.298933922217368e-14,17,0,0.624838415767447,0.27453465203095895,1,5.715667017780001e-40
17,5110,0.5489815712900096,0,6.593021947700148e-20,9,0,0.763821998089868,0.21752010117319737,1,2.865850727510157e-58
18,19077,0.6750727449078563,0,2.5916354058327964e-24,5,1,0.6064836595513078,0.20515681531872243,3,1.7406911435724172e-71
19,6616,0.46653734238603295,0,5.007381704518347e-17,20,1,0.5870996584831976,0.0807133349768411,3,1.255544463239676e-49
20,22931,0.4034917555771095,0,7.986674948925552e-15,3,1,0.2988030437047458,0.25438577393031314,3,5.094458498389835e-43
21,6914,0.5150339476236662,0,1.0120070430563827e-18,9,1,0.5831006553144074,0.16291714709278504,3,1.0364553685512362e-54
22,23912,0.5344325897187195,0,2.125262954999853e-19,20,2,0.0776856448789659,0.05839183457873542,2,9.59926578386466e-57
23,3061,0.4374393792434529,0,5.2031577761284e-16,12,1,0.5211661897235601,0.12413728263448934,3,1.4086431401304395e-46
24,20077,0.6314258001939864,0,8.680771863269469e-23,2,0,0.7742736582111381,0.19037382564235872,1,6.541464988504976e-67
25,6594,0.6362754607177495,0,5.876457877972935e-23,8,1,0.2742026213180143,0.14217070854678693,3,2.0293029228936837e-67
26,12482,0.7041707080504364,0,2.494121503122173e-25,5,0,0.6722304862547442,0.12117739781090263,1,1.551503786626232e-74
27,3652,0.3840931134820562,0,3.80309237452892e-14,20,1,0.5480083332816867,0.20230229036804415,3,5.500607074290088e-41
28,1466,0.1901066925315228,0,2.2795311100517443e-07,95,0,0.6850220878251937,0.2553202830123497,1,1.184504107266605e-20
29,137,0.21241513094083408,0,3.7879917886340764e-08,188,1,0.4311060285086974,0.2337567179466966,3,5.435344639454113e-23
30,23967,0.6944713870029097,1,5.4425576498781335e-25,12,1,0.5111001460184375,0.12087735661780523,3,1.6121635699090748e-73
31,19896,0.3501454898157128,0,5.837620896539122e-13,13,0,0.7133156694940489,0.25898525512930504,1,1.9893338060398235e-37
32,5272,0.5732298739088263,0,9.372834307414873e-21,13,1,0.607682577141181,0.132833076545833,3,8.234037099710515e-61
33,22223,0.4519883608147427,0,1.6141312536180442e-16,11,1,0.0697065750347926,0.23558171011044937,3,4.20548936482552e-48
34,20459,0.5392822502424829,0,1.4386990430856318e-19,4,1,0.5181295534913557,0.2182521152765562,3,2.977898298869137e-57
35,665,0.22453928225024244,0,1.4282434413185857e-08,144,0,0.8022348251760676,0.2660267044409697,1,2.9134442705598958e-24
36,23364,0.5489815712900096,0,6.593021947700148e-20,8,1,0.4215521502225472,0.06617587611945724,3,2.865850727510157e-58
37,6179,0.7235693501454897,0,5.237773679994943e-26,10,1,0.5036021916917406,0.17962024501159057,3,1.4369451362726908e-76
38,17273,0.42289039767216285,0,1.677239741275815e-15,18,1,0.2797216836882415,0.2186680694135359,3,4.71829873086557e-45
39,13227,0.7235693501454897,1,5.237773679994943e-26,7,1,0.3497109820598174,0.1990611578998619,3,1.4369451362726908e-76
40,5731,0.6023278370514064,0,9.020168323299527e-22,7,1,0.4974594779009887,0.21412765372654885,3,7.339118980656144e-64
41,4163,0.684772065955383,1,1.1876499881054562e-24,10,1,0.4681455227724609,0.1592746767271243,3,1.6751951772584989e-72
42,3004,0.34044616876818623,0,1.2738588838163064e-12,13,1,0.30614410132026376,0.17415980568399753,3,2.0671117727965736e-36
43,5945,0.395732298739088,0,1.4909887102398523e-14,29,1,0.5973706825115932,0.1401563343636697,3,3.314538474199731e-42
44,15249,0.4762366634335594,0,2.294696567687271e-17,5,0,0.6372208945667034,0.20149508264493166,1,1.2083028459244636e-50
45,700,0.2822502424830261,0,1.3754155031969572e-10,19,0,0.8867492874852096,0.23591246000535615,1,2.6019667698661368e-30
46,11108,0.3064985451018427,0,1.955331217477787e-11,14,1,0.2671731533343541,0.2857303589069092,3,7.475857284133593e-33
47,8808,0.26285160038797273,0,6.549449232814472e-10,14,0,0.9593049712308828,0.28806495124115733,1,2.8094049311372337e-28
